"tw_function","dependency","dep_function"
"removeStopwords","base","lapply"
"removeStopwords","base","nchar"
"removeStopwords","base","paste"
"removeStopwords","base","strsplit"
"removeStopwords","base","unlist"
"RTHound","base","as.matrix"
"RTHound","base","c"
"RTHound","base","cat"
"RTHound","base","factor"
"RTHound","base","floor"
"RTHound","base","gsub"
"RTHound","base","iconv"
"RTHound","base","is.na"
"RTHound","base","is.null"
"RTHound","base","length"
"RTHound","base","names"
"RTHound","base","paste"
"RTHound","base","rep"
"RTHound","base","return"
"RTHound","base","sapply"
"RTHound","base","sort"
"RTHound","base","strsplit"
"RTHound","base","t"
"RTHound","base","table"
"RTHound","base","unique"
"RTHound","base","unlist"
"RTHound","base","which"
"RTHound","stats","as.dist"
"RTHound","stats","cutree"
"RTHound","stats","dist"
"RTHound","stats","hclust"
"RTHound","utils","adist"
"sentiment","base","is.function"
"sentiment","base","is.null"
"sentiment","base","return"
"sentiment","base","sign"
"sentiment","TextWiller","normalizzaTesti"
"sentiment","utils","data"
"sentiment_utils","tibble","tibble"
"sentiment_utils","tidytext","unnest_tokens"
"sentiment_utils","base","apply"
"sentiment_utils","base","as.array"
"sentiment_utils","base","as.vector"
"sentiment_utils","base","c"
"sentiment_utils","base","cbind"
"sentiment_utils","base","gsub"
"sentiment_utils","base","is.na"
"sentiment_utils","base","length"
"sentiment_utils","base","match"
"sentiment_utils","base","nrow"
"sentiment_utils","base","paste"
"sentiment_utils","base","rep"
"sentiment_utils","base","return"
"sentiment_utils","base","sapply"
"sentiment_utils","base","strsplit"
"sentiment_utils","base","sum"
"sentiment_utils","base","unique"
"sentiment_utils","base","unlist"
"sentiment_utils","dplyr","group_by"
"sentiment_utils","dplyr","left_join"
"sentiment_utils","dplyr","summarise"
"sentiment_utils","SnowballC","wordStem"
"sentiment_utils","stringr","str_split"
"shorturl2url","base","gsub"
"shorturl2url","base","is.null"
"shorturl2url","base","length"
"shorturl2url","base","names"
"shorturl2url","base","nrow"
"shorturl2url","TextWiller","urlExtract"
"TimeStamp","base","as.POSIXct"
"TimeStamp","base","c"
"TimeStamp","base","is.integer"
"TimeStamp","base","is.null"
"TimeStamp","base","nrow"
"TimeStamp","base","order"
"TimeStamp","base","range"
"TimeStamp","base","rownames"
"TimeStamp","TextWiller","selezionaIntervalloTimeStamp"
"tryTolower","base","inherits"
"tryTolower","base","tolower"
"tryTolower","base","tryCatch"
"urlExtract","base","as.character"
"urlExtract","base","cbind"
"urlExtract","base","data.frame"
"urlExtract","base","grep"
"urlExtract","base","is.null"
"urlExtract","base","lapply"
"urlExtract","base","length"
"urlExtract","base","names"
"urlExtract","base","nchar"
"urlExtract","base","rep"
"urlExtract","base","return"
"urlExtract","base","sapply"
"urlExtract","base","substr"
"urlExtract","base","unique"
"urlExtract","base","unlist"
"urlExtract","base","which"
"urlExtract","stringr","str_extract_all"
"utili","base","c"
"utili","base","colnames"
"utili","base","gsub"
"utili","base","paste"
"utili","base","sapply"
"utili","stringr","str_count"
